Iteration,Discriminator Loss,Generator Loss
5140,1.235330,0.502596
5150,1.254446,0.570873
5160,1.257677,0.635195
5170,1.207636,0.514414
5180,1.279601,0.672388
5190,1.311503,0.631315
5200,1.235497,0.550218
5210,1.242594,0.451807
5220,1.260670,0.633702
5230,1.169864,0.539384
5240,1.285419,0.625411
5250,1.318372,0.610121
5260,1.310972,0.796313
5270,1.203618,0.661327
5280,1.274041,0.610286
5290,1.272974,0.598045
5300,1.249623,0.557441
5310,1.191672,0.518664
5320,1.335779,0.674163
5330,1.243987,0.626692
5340,1.240124,0.507373
5350,1.329460,0.809602
5360,1.327277,0.601069
5370,1.210967,0.552351
5380,1.165902,0.539391
5390,1.198247,0.566733
5400,1.156109,0.551987
5410,1.283071,0.656556
5420,1.292011,0.602293
5430,1.289895,0.659083
5440,1.179895,0.577487
5450,1.235975,0.631628
5460,1.296801,0.670415
5470,1.333610,0.631218
5480,1.219090,0.542375
5490,1.213666,0.626387
5500,1.220290,0.575573
5510,1.331234,0.756953
5520,1.222055,0.628422
5530,1.311258,0.749498
5540,1.213626,0.545329
5550,1.217917,0.529781
5560,1.315951,0.691937
5570,1.301976,0.470802
5580,1.456510,0.528558
5590,1.314386,0.676654
5600,1.238743,0.570324
5610,1.276633,0.801988
5620,1.222699,0.612060
5630,1.304076,0.715449
5640,1.267675,0.655679
5650,1.208093,0.518636
5660,1.283499,0.635778
5670,1.268475,0.826764
5680,1.210014,0.587105
5690,1.312387,0.617806
5700,1.313339,0.763124
5710,1.246306,0.614624
5720,1.314245,0.716595
5730,1.197836,0.535514
5740,1.290680,0.475877
5750,1.279941,0.664885
5760,1.174717,0.538825
5770,1.303421,0.690046
5780,1.196645,0.560994
5790,1.227164,0.576737
5800,1.211093,0.667808
5810,1.218700,0.631642
5820,1.299594,0.681181
5830,1.313151,0.530469
5840,1.170950,0.752667
5850,1.231233,0.566614
5860,1.255337,0.591984
5870,1.198157,0.569705
5880,1.258147,0.642180
5890,1.273081,0.605080
5900,1.290007,0.548742
5910,1.204877,0.678509
5920,1.244136,0.622624
5930,1.261533,0.537546
5940,1.329093,0.595823
5950,1.293011,0.674894
5960,1.282537,0.546806
5970,1.275097,0.555823
5980,1.225848,0.575647
5990,1.302497,0.647527
6000,1.305887,0.694350
6010,1.306001,0.656109
6020,1.318816,0.771230
6030,1.286267,0.593508
6040,1.297081,0.744028
6050,1.244564,0.672116
6060,1.198870,0.654926
6070,1.222893,0.522380
6080,1.238656,0.595944
6090,1.284347,0.835496
6100,1.290757,0.699301
6110,1.195380,0.608665
6120,1.332788,0.642092
6130,1.182363,0.574083
6140,1.307558,0.735648
6150,1.298015,0.609996
6160,1.323430,0.589558
6170,1.342157,0.684674
6180,1.212168,0.516968
6190,1.247452,0.632212
6200,1.259278,0.604880
6210,1.301462,0.625558
6220,1.301547,0.801431
6230,1.508193,0.539864
6240,1.225245,0.523058
6250,1.249728,0.594852
6260,1.210555,0.483445
6270,1.336339,0.777819
6280,1.307487,0.636026
6290,1.330237,0.741857
6300,1.312364,0.717179
6310,1.307436,0.647301
6320,1.285741,0.637273
6330,1.259109,0.645521
6340,1.283650,0.673513
6350,1.273456,0.682881
6360,1.219762,0.624592
6370,1.290949,0.625694
6380,1.157635,0.510142
6390,1.276564,0.674233
6400,1.215847,0.608368
6410,1.361408,0.666627
6420,1.294457,0.721581
6430,1.331432,0.639886
6440,1.330653,0.694751
6450,1.236278,0.582667
6460,1.249413,0.673170
6470,1.208069,0.640458
6480,1.313682,0.609175
6490,1.277098,0.802349
6500,1.195652,0.624555
6510,1.309330,0.509035
6520,1.215979,0.584203
6530,1.333471,0.631757
6540,1.254529,0.638213
6550,1.335128,0.697600
6560,1.235197,0.513414
6570,1.218671,0.690784
6580,1.268322,0.646938
6590,1.317035,0.761650
6600,1.270245,0.677357
6610,1.314996,0.747493
6620,1.236472,0.623190
6630,1.196477,0.672765
6640,1.298996,0.790073
6650,1.354065,0.818647
6660,1.210846,0.565403
6670,1.238364,0.614302
6680,1.216338,0.600324
6690,1.230083,0.590384
6700,1.313672,0.684460
6710,1.351664,0.671912
6720,1.374859,0.835800
6730,1.377496,0.683184
6740,1.212761,0.616437
6750,1.197513,0.645941
6760,1.426654,0.695326
6770,1.218645,0.567170
6780,1.304153,0.758030
6790,1.277879,0.739726
6800,1.248906,0.661328
6810,1.294319,0.562798
6820,1.312590,0.725402
6830,1.228384,0.704932
6840,1.272378,0.666793
6850,1.138833,0.578980
6860,1.303819,0.650671
6870,1.236875,0.575142
6880,1.354643,0.644079
6890,1.176642,0.601725
6900,1.258271,0.705153
6910,1.342618,0.638698
6920,1.291891,0.656801
6930,1.346828,0.594971
6940,1.280431,0.692333
6950,1.206824,0.600509
6960,1.227675,0.738114
6970,1.281822,0.563930
6980,1.267800,0.646763
6990,1.336057,0.572944
7000,1.257046,0.633057
7010,1.259607,0.623045
7020,1.194845,0.645826
7030,1.145558,0.540785
7040,1.329448,0.869650
7050,1.124252,0.583707
7060,1.337151,0.864692
7070,1.302290,0.687784
7080,1.265214,0.524976
7090,1.274096,0.554568
7100,1.260334,0.520164
7110,1.392827,0.682991
7120,1.318081,0.807592
7130,1.322003,0.722340
7140,1.297364,0.671688
7150,1.283112,0.729752
7160,1.301219,0.575498
7170,1.297605,0.551841
7180,1.224956,0.720020
7190,1.285588,0.923760
7200,1.313928,0.583142
7210,1.194862,0.665847
7220,1.204623,0.598688
7230,1.144509,0.560199
7240,1.273283,0.675719
7250,1.284169,0.745931
7260,1.326707,0.676256
7270,1.186133,0.526899
7280,1.132260,0.434414
7290,1.255055,0.801736
7300,1.285409,0.702331
7310,1.303619,0.698075
7320,1.336144,0.649854
7330,1.149950,0.594117
7340,1.345033,0.673986
7350,1.394791,0.847378
7360,1.315721,0.744218
7370,1.335032,0.653795
7380,1.218323,0.588235
7390,1.241928,0.634093
7400,1.314820,0.702457
7410,1.316639,0.642853
7420,1.279172,0.741291
7430,1.256777,0.715406
7440,1.256948,0.572881
7450,1.331547,0.652177
7460,1.161118,0.638560
7470,1.340673,0.690313
7480,1.299623,0.720259
7490,1.171592,0.480546
7500,1.321978,0.726067
7510,1.304849,0.921110
7520,1.181141,0.639553
7530,1.242408,0.563043
7540,1.316302,0.736790
7550,1.247610,0.588175
7560,1.335585,0.765778
7570,1.241051,0.695899
7580,1.279683,0.669950
7590,1.377062,0.663242
7600,1.290852,0.738199
7610,1.311510,0.853718
7620,1.101305,0.554148
7630,1.341025,0.696355
7640,1.282212,0.682163
7650,1.303295,0.698656
7660,1.271709,0.632462
7670,1.303138,0.568534
7680,1.401629,0.678243
7690,1.347903,0.639848
7700,1.335860,0.630633
7710,1.313290,0.654474
7720,1.146541,0.536321
7730,1.244110,0.658481
7740,1.291911,0.841886
7750,1.099231,0.632971
7760,1.315989,0.583058
7770,1.173468,0.605300
7780,1.296966,0.714739
7790,1.162185,0.729587
7800,1.384898,0.793558
7810,1.336005,0.782707
7820,1.310602,0.744259
7830,1.196079,0.552023
7840,1.226182,0.530170
7850,1.319506,0.756563
7860,1.242990,0.591254
7870,1.582063,0.634354
7880,1.228337,0.705636
7890,1.162190,0.570844
7900,1.252574,0.704099
7910,1.320126,0.920150
7920,1.298072,0.614785
7930,1.299774,0.719658
7940,1.310616,0.715433
7950,1.335118,0.689561
7960,1.435295,0.767310
7970,1.376706,0.622979
7980,1.264581,0.596892
7990,1.105806,0.568669
8000,1.348227,0.838013
8010,1.271140,0.673330
8020,1.236379,0.651921
8030,1.089388,0.563489
8040,1.266654,0.772516
8050,1.318937,0.565195
8060,1.250973,0.629019
8070,1.248789,0.669360
8080,1.158851,0.629384
8090,1.309434,0.637750
8100,1.320160,0.657184
8110,1.296587,0.887552
8120,1.317554,0.827334
8130,1.217601,0.513646
8140,1.301206,0.682637
8150,1.146345,0.717806
8160,1.200446,0.558223
8170,1.139960,0.683926
8180,1.263203,0.684005
8190,1.234555,0.757004
8200,1.185802,0.590877
8210,1.245519,0.766432
8220,1.374669,0.605538
8230,1.272067,0.670615
8240,1.309642,0.598009
8250,1.178460,0.552749
8260,1.347855,0.882237
8270,1.214113,0.648762
8280,1.287820,0.785174
8290,1.247510,0.591386
8300,1.184118,0.652508
8310,1.333518,0.662883
8320,1.223511,0.767952
8330,1.132831,0.656238
8340,1.355726,0.978943
8350,1.091631,0.511175
8360,1.278421,0.738435
8370,1.133673,0.472111
8380,1.250707,0.685066
8390,1.338461,0.719226
8400,1.313094,0.605169
8410,1.288208,0.939424
8420,1.382126,0.596847
8430,1.304851,0.696005
8440,1.339364,0.645088
8450,1.339823,0.877780
8460,1.202545,0.648126
8470,1.405243,0.729076
8480,1.302944,0.793672
8490,1.309290,0.903421
8500,1.189439,0.516183
8510,1.229331,0.732102
8520,1.303267,0.764584
8530,1.261104,0.579707
8540,1.269034,0.784744
8550,1.328704,0.671386
